Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2334,339,32,300,190,1099,136,176,169,1310,Cache,4703
3140,90,8,85,4,752,232,228,129,2313,Neota,7202
2720,23,2,295,38,2143,218,235,154,4392,Rawah,4744
3289,353,12,725,61,2037,200,219,157,793,Commanche,7756
3053,166,18,518,-23,807,232,243,135,2368,Rawah,7745
2160,30,36,90,35,1180,183,138,66,1052,Cache,4703
2909,10,25,255,70,2318,184,180,125,1794,Commanche,7757
2743,51,9,212,20,2345,225,221,129,6727,Rawah,4744
2860,326,27,323,121,3581,144,198,189,1242,Rawah,7745
3112,297,16,722,75,1935,174,233,199,742,Commanche,4758
3075,73,15,306,104,1868,236,210,102,3738,Rawah,7745
3320,149,13,960,204,2553,237,239,129,2278,Commanche,7757
3071,38,19,510,-34,2118,216,194,106,1626,Commanche,7755
3037,340,20,175,12,3420,173,206,169,5158,Rawah,7745
3128,32,11,331,65,216,218,217,134,1142,Rawah,7201
2969,244,28,95,49,2796,153,248,224,2145,Commanche,7757
3226,240,4,277,13,6072,212,243,168,1031,Rawah,7201
2873,10,15,212,60,2739,202,209,141,1899,Rawah,7745
2937,20,15,939,94,2445,208,208,134,1052,Commanche,7700
3192,74,16,180,64,1687,237,208,98,2101,Commanche,7757
2997,53,18,524,182,720,227,197,97,825,Commanche,7757
3420,88,38,743,135,2028,244,151,0,1740,Rawah,8776
3375,238,12,313,30,2440,198,250,189,3425,Neota,7756
2643,275,30,201,119,1099,126,231,236,1380,Commanche,7710
2694,80,24,95,47,120,243,188,61,1900,Rawah,7746
3034,52,9,379,30,5525,225,221,130,4137,Rawah,7745
2982,302,21,598,51,2012,156,225,207,1090,Commanche,7202
3102,327,13,30,8,2182,189,225,176,3160,Rawah,7201
2926,106,11,277,43,4481,239,227,117,5657,Rawah,4744
3079,326,5,190,21,134,206,234,166,1926,Neota,7202
3220,106,17,120,-24,1507,247,217,93,2632,Rawah,7201
3057,182,13,134,26,1964,224,248,155,85,Commanche,7755
2889,130,13,67,11,684,240,233,120,1926,Rawah,7745
2982,26,17,150,21,1231,210,201,123,1020,Commanche,7700
3416,48,22,741,-17,2475,223,188,89,2017,Rawah,8776
3179,165,15,443,0,2001,232,244,139,1947,Commanche,7757
3057,45,7,242,69,5663,222,224,137,4656,Rawah,4744
2620,75,3,361,8,849,223,234,147,811,Rawah,4744
2975,35,18,721,156,1426,215,197,112,2700,Commanche,7757
2786,69,11,42,7,1592,231,219,119,1595,Rawah,7202
2806,96,16,240,33,1931,244,215,95,2885,Rawah,7745
3006,270,1,335,43,4016,216,238,160,1328,Rawah,7745
2900,124,17,391,102,2931,246,226,102,277,Commanche,4703
3240,206,21,484,148,3248,203,254,178,760,Commanche,7757
3053,317,12,120,40,182,188,230,181,819,Rawah,7201
2317,305,18,417,238,1441,169,228,198,957,Cache,4703
2906,63,4,376,53,3928,224,231,143,3403,Rawah,4744
2734,77,13,408,80,2408,236,216,110,2131,Commanche,7756
2902,94,8,0,0,1253,232,229,129,1505,Commanche,7202
3268,99,9,247,61,2071,235,228,123,1956,Commanche,7757
2570,21,11,391,169,849,213,217,140,890,Commanche,2704
3126,22,23,212,54,3287,199,184,113,1471,Commanche,7755
3260,45,5,0,0,5858,221,229,144,659,Rawah,8771
3322,227,12,180,47,2750,202,251,184,810,Commanche,7201
3332,219,10,446,53,3409,208,250,177,1390,Commanche,7756
2691,70,22,228,41,1024,238,192,75,1968,Rawah,4744
2481,231,23,150,60,1036,177,253,206,1328,Commanche,2704
2851,52,10,376,40,1631,226,218,125,2976,Commanche,7202
2310,315,12,30,5,450,187,230,183,1539,Cache,4703
2968,99,7,162,13,4137,233,230,130,5578,Rawah,7745
3178,150,23,90,12,636,242,232,107,2208,Neota,4758
3380,293,14,361,73,3658,181,236,195,1698,Commanche,8771
2935,66,8,42,-2,1463,229,224,128,3363,Rawah,7202
3023,70,24,339,124,2048,237,186,67,1752,Commanche,7757
2847,358,7,301,49,1964,210,227,156,1595,Rawah,4744
3326,217,7,30,0,3270,213,247,171,1833,Commanche,7756
2658,10,14,390,81,997,204,212,143,1034,Rawah,4744
2513,110,15,42,5,1366,244,222,103,4511,Rawah,6731
3016,48,25,335,111,2471,220,176,77,2046,Commanche,7757
2834,304,22,162,62,3890,154,223,207,937,Rawah,7745
2674,95,15,216,59,2359,242,217,100,2371,Commanche,4703
3183,240,12,319,68,5798,198,250,189,3184,Rawah,7201
2828,342,2,0,0,1441,214,235,159,1124,Commanche,7202
2664,276,4,335,12,726,208,240,171,1585,Rawah,4744
2947,187,17,360,61,1800,220,250,158,1824,Commanche,7757
3054,169,13,649,55,5493,230,245,144,3140,Rawah,7745
2707,307,15,234,46,1008,179,230,191,1595,Rawah,7745
3108,57,20,30,-7,1301,229,192,87,872,Commanche,7202
2462,321,19,67,12,497,167,218,189,1370,Cache,4703
2773,80,9,108,13,2826,233,223,122,4660,Rawah,7745
2825,315,19,90,35,2525,168,222,193,350,Commanche,7757
2376,288,24,134,34,1206,146,229,220,1020,Cache,4703
2909,320,27,192,102,930,139,202,198,1302,Commanche,7757
3071,85,10,459,-111,1725,235,222,118,1248,Rawah,7202
2613,72,22,182,-21,1061,239,191,72,1034,Rawah,7746
2533,70,22,306,90,953,238,191,74,1082,Commanche,4703
2865,80,11,391,-62,457,234,221,118,1842,Rawah,7745
3506,103,19,779,221,2292,248,212,85,1399,Rawah,8776
2955,185,10,228,42,5346,222,248,158,3571,Rawah,7745
3344,230,23,95,6,1973,179,254,205,3724,Neota,7757
2652,0,8,162,23,840,208,225,154,1643,Rawah,7745
2920,70,21,537,124,1128,237,193,77,594,Rawah,7746
3200,315,1,60,4,6013,215,237,160,1390,Rawah,7101
3281,357,12,42,7,1464,201,218,155,767,Rawah,8771
2757,170,18,234,10,2192,230,245,140,2728,Rawah,7746
3151,139,14,216,21,2361,241,235,120,430,Commanche,7755
2988,45,14,499,23,1033,223,210,118,2172,Rawah,7745
2750,352,22,30,8,2601,175,195,154,2053,Commanche,7700
2590,133,22,212,52,1132,249,223,91,1129,Commanche,2705
2853,68,8,234,38,752,228,225,130,2631,Commanche,4704
2933,22,12,42,6,1885,212,214,137,2454,Commanche,7756
2849,232,16,67,12,755,193,253,194,630,Commanche,4758
2838,93,10,192,37,2871,236,225,120,2408,Rawah,7745
3129,296,18,268,85,342,166,231,205,1681,Neota,7201
2879,324,13,30,6,2781,186,225,179,470,Commanche,7756
3040,318,15,30,6,1073,180,226,185,1507,Commanche,7202
2593,139,19,234,52,577,245,230,106,2363,Rawah,7746
3001,283,8,891,105,5894,197,241,183,5886,Rawah,7745
2958,29,6,60,4,2282,218,226,144,1501,Rawah,7745
3195,52,18,451,47,5356,227,199,100,2581,Rawah,7745
2978,330,11,95,30,2024,193,226,172,1084,Rawah,7745
3197,99,17,404,119,361,245,215,93,2621,Neota,7756
3103,28,11,745,-19,4380,216,216,135,3660,Rawah,7745
1993,68,23,30,19,270,236,189,73,661,Cache,2702
2878,70,15,95,-7,626,235,210,103,127,Commanche,7757
2739,62,5,124,12,1158,224,230,142,2099,Commanche,4704
2718,337,5,30,-4,1254,208,232,163,1956,Rawah,7102
2940,351,23,108,30,1698,173,195,155,2717,Commanche,7757
2693,29,16,60,14,2442,212,202,122,2322,Rawah,7745
2938,139,11,210,16,4231,236,237,130,4430,Rawah,4744
3224,120,17,192,30,2881,247,223,98,1075,Commanche,7202
2375,27,28,134,34,878,196,168,95,666,Cache,4703
3359,10,13,127,12,2389,206,213,144,4209,Neota,8703
3095,130,4,0,0,4332,226,237,145,1426,Rawah,7201
2594,233,20,295,-5,690,182,253,203,1304,Commanche,2705
2896,161,23,95,28,1550,236,238,120,2663,Commanche,4758
2824,92,17,67,10,3655,244,212,91,6201,Rawah,7745
2949,143,14,162,41,2012,239,236,124,1006,Rawah,7745
3332,152,14,391,47,1739,237,239,130,1932,Rawah,8771
2995,42,18,309,79,4755,220,198,107,3665,Rawah,7745
3182,117,23,390,140,3037,252,212,75,2945,Rawah,7745
3135,233,5,127,5,361,212,244,169,2731,Neota,7101
2625,89,21,67,13,2334,246,202,76,1187,Commanche,4703
3220,283,13,170,22,2970,185,240,195,1448,Commanche,7756
2965,288,14,272,49,5275,178,238,199,1521,Rawah,7746
2633,285,26,153,74,1168,139,229,226,721,Commanche,7757
2790,26,21,201,17,1926,205,189,113,2408,Rawah,4744
2856,216,12,108,1,2250,207,252,179,2397,Commanche,6102
2906,208,13,150,20,1911,211,251,174,1640,Commanche,7202
1935,84,18,120,59,134,243,205,86,854,Cache,2704
3233,0,7,741,89,6126,210,228,155,1380,Rawah,7745
3123,163,6,218,12,127,226,242,150,4924,Neota,7201
3027,272,16,446,230,2748,176,243,206,1731,Commanche,7756
3266,315,14,210,45,2048,183,228,185,1982,Neota,7757
3295,49,13,339,41,1050,225,211,117,700,Neota,7756
2772,281,10,127,20,1931,194,241,187,2553,Rawah,7745
2850,200,21,391,155,1381,207,253,172,1471,Commanche,7757
2710,281,2,0,0,1388,212,239,165,2423,Commanche,6102
2321,223,21,42,6,518,189,254,196,450,Cache,2704
3125,126,22,60,6,1884,250,220,86,2527,Rawah,7745
2734,168,21,451,100,2457,231,242,131,2197,Commanche,2705
3324,280,10,228,29,1671,193,241,188,1691,Commanche,7756
2870,38,15,162,17,3580,218,205,118,5423,Rawah,4744
3064,286,4,0,0,1018,208,239,170,1742,Neota,7202
2329,87,24,95,30,391,247,192,59,721,Cache,2705
3136,10,5,270,51,674,214,229,152,1025,Neota,7201
3022,38,14,30,4,1533,219,208,121,1084,Commanche,7755
2768,91,33,210,119,210,249,168,20,2548,Rawah,7746
2834,104,23,525,192,2407,251,204,69,2030,Commanche,4703
2983,98,23,150,69,2531,250,201,66,2256,Commanche,7757
2936,315,24,277,86,5890,151,213,199,4745,Rawah,7700
3019,75,8,201,42,4631,230,225,127,30,Rawah,7745
2406,333,29,67,36,644,143,190,179,1429,Cache,4703
3009,341,17,335,44,3376,181,212,168,2024,Commanche,7700
3004,29,2,67,-1,5266,218,233,152,2482,Rawah,7202
3266,243,6,474,78,626,207,245,176,134,Neota,7700
3259,346,15,170,47,2839,190,215,163,2553,Commanche,7700
2941,0,31,182,44,1917,159,167,132,1864,Commanche,7757
3069,321,13,210,52,1034,186,227,180,1440,Commanche,7756
2966,189,9,42,6,1543,221,247,160,534,Commanche,7755
2879,330,19,85,8,2684,173,214,179,1172,Commanche,7757
3124,0,6,324,31,1031,211,228,155,2613,Commanche,7755
3338,4,13,418,62,2072,202,214,148,1399,Commanche,7755
2483,104,26,30,8,600,253,198,57,1146,Cache,2705
2648,1,21,212,86,2135,184,195,144,2375,Commanche,4704
3032,172,12,85,24,1871,228,245,148,216,Commanche,7755
2714,306,12,272,21,1342,185,233,188,2056,Commanche,6102
2649,180,27,150,65,1871,219,244,140,1368,Commanche,2705
2885,155,14,228,53,842,235,241,132,1599,Commanche,4704
3092,24,28,108,16,2649,193,169,99,4175,Rawah,7745
3313,281,8,285,41,3630,199,241,182,1940,Commanche,7756
2647,68,7,60,-2,1129,227,226,133,1722,Commanche,7757
3296,101,19,268,58,3776,248,212,85,2821,Rawah,8772
3270,354,10,0,0,4034,204,223,157,1762,Rawah,8771
2929,92,6,67,9,1208,230,231,135,382,Commanche,7756
2948,151,12,67,15,1150,235,240,133,2292,Rawah,7202
2646,42,7,108,18,242,222,224,137,1543,Rawah,4744
2988,155,9,560,71,5560,231,241,142,2729,Rawah,7746
2914,306,34,778,543,864,109,198,219,2295,Commanche,7757
3184,284,2,0,0,1557,214,239,163,603,Neota,7756
2706,67,21,210,29,1621,236,193,80,390,Rawah,7745
2913,156,13,330,107,2030,235,241,134,1194,Commanche,7756
3179,24,10,309,20,2430,215,218,140,2405,Rawah,7745
3166,224,39,42,-66,2942,140,241,211,1302,Commanche,7202
3323,352,19,594,185,3744,182,203,156,3576,Commanche,8776
2873,131,9,474,120,3400,235,235,131,2984,Rawah,4744
2711,10,8,365,17,914,211,224,149,1068,Rawah,4744
2831,150,11,120,14,2077,235,240,134,2313,Commanche,7702
2699,27,11,216,21,2259,216,216,136,1890,Commanche,7756
2761,135,2,0,0,2259,222,238,151,2919,Rawah,7202
2780,10,11,150,21,742,208,218,146,2340,Commanche,4704
3155,81,10,285,0,3864,233,223,121,4652,Rawah,7745
2860,83,6,95,12,1307,228,230,137,2371,Commanche,7755
3063,309,9,400,82,2389,194,234,180,1101,Rawah,7745
2558,91,13,362,-19,446,240,219,108,1100,Rawah,4744
3496,340,24,395,207,1248,162,197,170,1710,Neota,8772
2995,207,11,192,17,5546,213,250,171,2037,Rawah,7202
3047,63,8,127,-5,3154,227,224,131,1333,Commanche,7756
2662,56,5,150,13,175,223,229,141,811,Commanche,4704
2586,34,22,180,-4,543,210,185,100,1230,Commanche,4703
2936,35,8,201,7,4920,219,223,139,2156,Rawah,7745
2459,33,13,85,12,277,217,210,126,1194,Cache,4704
2777,185,24,255,79,845,217,249,153,2021,Commanche,2705
2596,202,12,242,51,1599,214,251,169,1690,Commanche,2703
2847,306,12,150,25,2326,185,233,188,2496,Rawah,7745
3169,356,17,875,-33,1242,192,208,153,1583,Commanche,7757
2853,1,19,376,60,2621,189,201,146,1678,Commanche,7757
2762,299,12,60,19,2617,187,236,189,6369,Rawah,7745
3309,305,13,95,17,3042,182,232,190,864,Commanche,7756
3184,201,3,175,3,4411,218,242,161,1041,Commanche,7202
3119,135,13,192,17,85,240,234,122,4283,Neota,7201
2982,328,3,30,1,1952,212,236,162,3568,Rawah,7202
3014,104,20,127,36,4418,249,211,82,2513,Rawah,7745
2800,63,7,0,0,2856,226,226,134,4512,Rawah,7102
2804,47,8,30,3,1416,223,223,134,2427,Rawah,7745
2861,292,36,721,486,819,97,206,236,2442,Commanche,7757
2803,10,12,162,15,2446,207,216,145,3692,Rawah,4744
3118,63,7,335,59,1890,227,225,132,3350,Commanche,7700
3077,154,8,255,46,518,230,241,143,1390,Commanche,7201
3070,106,23,210,-7,684,252,204,67,1790,Rawah,7745
2999,323,23,509,55,3303,157,210,190,1849,Commanche,7700
3209,260,12,469,68,242,190,247,195,2326,Commanche,7757
3244,107,9,150,23,3795,236,229,124,3388,Rawah,7745
2780,54,15,240,101,1406,228,207,110,2161,Commanche,7757
2929,63,7,258,13,4957,226,226,134,2012,Rawah,7745
3213,21,8,543,69,6290,215,223,145,1282,Rawah,7745
3422,233,2,192,77,1003,215,241,163,1057,Neota,8776
2868,196,3,42,1,1554,219,242,160,2632,Commanche,6101
3314,59,15,420,99,2069,230,207,105,2148,Rawah,8771
3181,339,7,0,0,4395,206,231,163,1677,Rawah,7202
3136,333,8,488,-49,994,201,229,168,953,Neota,7202
2851,35,8,313,96,2856,219,224,140,2897,Rawah,4744
2841,300,17,604,109,150,172,231,199,1724,Commanche,4703
3192,270,7,323,-7,3073,202,243,180,85,Commanche,7756
2275,186,15,95,22,382,221,250,158,485,Cache,4703
3049,114,10,150,14,3734,238,230,121,277,Rawah,7202
2646,54,12,180,18,3294,227,213,117,2349,Commanche,4704
2564,30,18,30,6,1173,212,198,117,1100,Commanche,7757
2889,106,20,474,127,450,249,212,83,532,Commanche,7757
3262,64,6,454,149,1206,226,228,136,2067,Rawah,7745
3457,81,17,626,172,2230,241,208,91,1390,Rawah,8776
2694,149,17,90,21,1981,240,237,121,5269,Rawah,7745
3111,81,6,108,11,2281,228,230,136,1706,Rawah,7745
2466,221,28,360,58,300,174,252,201,966,Commanche,2705
2937,145,4,0,0,1712,225,239,149,371,Commanche,7756
3310,141,24,847,-37,1332,247,225,92,2823,Rawah,7745
3263,180,13,268,30,2089,224,248,153,1256,Rawah,7745
2984,128,14,212,19,4626,242,231,115,3428,Rawah,7745
3391,345,14,731,52,1343,192,217,163,1572,Commanche,8771
3206,324,21,459,185,2649,162,213,188,2736,Commanche,7757
2968,78,19,95,18,3007,241,202,84,1181,Commanche,7757
3010,355,3,0,0,5328,215,234,157,2338,Rawah,7202
2977,63,19,150,39,2250,233,196,88,2012,Commanche,7755
2849,17,18,108,24,2215,203,200,130,1699,Commanche,7757
3214,54,8,361,66,5764,225,223,131,2279,Rawah,7745
2827,43,10,95,-4,1761,222,219,131,1785,Commanche,6102
2795,31,25,60,13,1451,203,176,96,1795,Commanche,7700
2664,195,27,228,60,1897,203,250,164,1541,Commanche,4703
2979,357,5,42,1,990,213,231,157,2250,Rawah,7745
2949,249,14,180,20,1115,188,250,199,510,Commanche,7756
2454,70,20,170,46,1503,237,196,80,457,Commanche,4703
3169,19,9,335,74,4871,214,222,144,1987,Rawah,7745
3139,68,11,488,58,1489,232,218,118,2762,Commanche,7756
2873,345,13,42,6,4097,195,220,163,6038,Rawah,7102
2922,176,10,150,26,5316,226,246,152,4699,Rawah,7746
3221,279,18,484,113,5905,167,239,211,2942,Rawah,7745
2674,49,9,120,2,1740,224,221,131,5351,Rawah,7745
3031,174,7,849,112,5413,225,244,153,5810,Rawah,4744
2834,320,20,295,86,2420,166,218,190,830,Commanche,7700
2814,271,20,108,62,3551,163,242,216,5898,Rawah,7745
2887,85,13,30,6,1770,238,217,108,2142,Commanche,7202
2849,22,13,450,119,180,212,213,136,1041,Commanche,4704
3023,41,4,553,180,2080,220,230,146,2864,Commanche,7756
3191,94,7,0,0,5070,231,230,132,1907,Rawah,7201
3312,109,10,30,-3,1380,238,229,121,1437,Commanche,7755
2803,121,1,391,16,2156,221,237,152,1965,Rawah,4744
3404,81,10,120,0,2889,233,223,121,787,Commanche,8703
3207,138,21,693,0,1507,246,228,100,2714,Commanche,7757
3352,27,15,30,3,1527,212,207,128,3436,Neota,8703
2867,101,20,212,62,240,249,209,80,1263,Rawah,7745
2953,0,6,706,196,987,211,228,155,2613,Commanche,7756
2959,94,18,162,59,5646,246,210,87,4004,Rawah,7746
3177,122,12,430,106,201,240,231,119,973,Commanche,7756
2811,11,14,319,68,2627,204,210,141,2630,Rawah,7745
2909,198,17,60,16,2564,212,252,169,774,Commanche,4758
2872,313,11,601,224,1153,190,232,181,1325,Commanche,7756
2746,69,9,582,83,679,230,222,125,2776,Rawah,7745
3253,315,9,513,-21,2697,195,233,177,331,Commanche,7756
3021,339,16,95,27,324,184,215,169,1804,Commanche,7201
2977,54,10,499,1,841,226,218,124,1844,Commanche,7756
3028,167,16,300,61,4476,231,244,139,1776,Rawah,7745
3201,330,10,408,106,5094,196,228,171,2021,Rawah,7745
2463,230,38,90,-1,579,135,242,220,1092,Commanche,2705
2644,121,4,0,0,30,227,236,144,805,Commanche,6102
3373,137,17,0,0,2721,244,232,111,618,Commanche,8772
2829,107,13,175,31,2926,241,224,110,108,Commanche,4703
2619,122,17,268,-30,1200,247,224,99,390,Rawah,7746
2386,100,23,85,37,277,250,201,66,924,Cache,2705
1972,50,21,162,12,210,224,190,90,558,Cache,2702
2972,62,13,175,20,937,230,213,113,2040,Commanche,7756
2751,78,10,190,1,1598,233,222,120,1924,Rawah,7745
2641,222,18,90,4,2465,195,254,191,1924,Commanche,4704
3170,67,7,256,22,5587,228,226,132,1851,Rawah,7102
3117,329,10,658,102,1450,197,229,171,2225,Commanche,7756
3090,36,4,247,6,5145,220,230,147,1207,Rawah,7745
3285,302,9,443,95,870,194,236,181,553,Commanche,7756
3213,39,10,30,-3,2672,221,217,130,2509,Rawah,7201
2791,6,14,42,10,3145,201,212,146,6312,Rawah,7745
3008,332,11,175,26,3909,193,225,172,2378,Rawah,7746
2966,346,9,90,5,1637,203,227,162,3427,Rawah,7202
3160,165,17,277,58,212,233,243,135,4645,Neota,7201
3205,221,9,0,0,3413,209,249,176,1411,Commanche,7202
2953,220,19,630,67,1360,195,254,190,1777,Commanche,7757
3125,94,12,124,22,2219,239,221,110,2069,Rawah,7745
2582,218,27,228,90,1256,180,253,197,1168,Commanche,2704
2960,235,13,789,118,2741,197,251,190,1584,Commanche,7702
3214,41,5,30,0,3019,220,229,145,1687,Rawah,7201
2624,342,16,300,106,1106,186,214,166,1782,Commanche,7755
2748,186,23,390,92,3314,216,249,153,1693,Commanche,4758
2938,276,25,841,414,1041,144,236,226,1907,Commanche,7756
2812,87,18,30,-8,1608,244,206,85,1827,Commanche,6102
1966,106,23,60,13,95,251,206,70,417,Cache,2702
2599,23,7,150,-26,3165,216,225,145,2632,Commanche,4704
2771,138,18,272,-51,677,245,231,107,450,Rawah,7746
3192,332,14,437,43,1084,187,222,174,2483,Neota,7202
2426,275,20,95,20,466,164,241,214,309,Cache,4703
3271,342,14,417,93,4671,190,218,166,918,Commanche,7756
2230,303,38,85,1,1403,93,193,225,1040,Cache,4703
3082,128,24,210,0,931,251,218,80,1172,Commanche,7202
2614,51,15,42,-2,218,226,207,111,1398,Rawah,7745
3141,17,9,175,13,1712,213,222,145,1842,Commanche,7757
3137,337,13,42,10,1054,192,222,169,2140,Rawah,7201
2913,123,8,30,-3,658,234,234,132,2389,Commanche,6102
2913,68,9,268,36,4210,229,223,126,6251,Rawah,4744
3279,46,13,537,88,3844,224,210,118,3805,Rawah,8771
3126,121,12,67,-1,1120,240,230,117,2362,Rawah,7745
3027,302,4,805,62,5744,207,238,169,5876,Rawah,4744
2966,35,10,30,6,2280,219,218,134,972,Commanche,7755
2981,38,9,134,8,4628,221,221,135,1883,Rawah,7101
2793,18,13,306,71,2512,209,211,137,2513,Rawah,7745
3155,207,6,182,6,3757,216,246,166,4716,Rawah,7745
3259,266,4,636,25,630,210,241,169,624,Commanche,7756
2849,259,31,162,22,2617,130,239,236,319,Commanche,7757
2801,138,22,153,-21,721,247,226,95,330,Rawah,7746
2893,35,11,201,14,492,219,215,130,1947,Commanche,7700
2987,88,11,30,5,926,237,221,114,2695,Commanche,7202
2296,326,22,242,77,1138,159,209,187,816,Cache,4703
3090,227,16,242,14,797,196,253,191,1489,Rawah,7746
2253,82,28,0,0,551,245,180,46,706,Cache,2702
3155,29,13,216,38,842,215,210,129,2040,Commanche,7201
3109,305,6,0,0,4440,204,237,172,3406,Rawah,7201
3096,338,15,30,11,408,186,217,170,789,Neota,7202
2529,107,5,255,8,379,229,234,139,1222,Rawah,6731
2423,262,24,309,199,1190,155,244,223,900,Cache,4703
2780,127,31,85,46,1383,253,202,52,1559,Commanche,7757
3084,63,8,242,6,3226,227,224,131,918,Rawah,7745
2295,185,8,30,0,1230,222,246,158,949,Cache,6102
3208,0,4,382,7,3992,213,232,156,3102,Rawah,7202
3219,286,7,323,35,342,201,240,179,1320,Commanche,7755
2841,336,9,362,43,1924,201,229,167,1478,Rawah,4744
3212,349,8,0,0,3276,205,226,160,4090,Rawah,7202
2658,144,18,234,18,927,242,234,114,582,Commanche,2703
2758,327,7,60,2,1765,204,233,168,2060,Rawah,7745
3278,43,8,258,-5,1409,222,222,135,3159,Neota,7202
2739,19,9,0,0,3362,214,220,143,5948,Rawah,7745
3230,206,6,313,97,2801,216,246,165,1103,Commanche,7755
2444,53,18,60,4,1753,227,199,99,258,Commanche,4703
2283,119,32,67,35,899,254,194,41,1112,Cache,2705
3308,7,8,446,78,4279,210,224,151,1795,Commanche,8772
2895,98,26,210,97,218,251,193,54,685,Rawah,7745
3125,163,15,467,48,2039,233,243,136,859,Commanche,7756
2764,77,13,182,14,1608,236,216,110,1958,Rawah,7745
3022,287,8,175,41,2560,198,240,181,999,Rawah,7745
2171,55,27,330,121,390,225,172,64,272,Cache,4703
2978,108,15,120,11,4702,245,221,101,1771,Rawah,7745
2962,162,10,124,-7,1368,230,243,144,595,Commanche,7756
3213,259,5,0,0,1072,208,243,173,1956,Neota,7202
2911,269,31,210,140,2279,125,233,238,1423,Commanche,4758
3196,337,20,470,79,474,172,208,173,1822,Commanche,7700
2988,113,5,510,62,5171,230,234,138,6287,Rawah,7745
3204,213,13,175,37,3020,208,252,178,1020,Commanche,7756
2962,302,15,402,-2,4265,176,232,195,2082,Rawah,7745
3060,216,15,366,39,5897,203,253,183,2133,Rawah,7745
2723,21,6,323,24,85,216,227,148,778,Commanche,4704
3158,332,27,876,383,1061,148,195,181,1546,Commanche,7757
2900,218,8,108,4,5246,211,248,173,5479,Rawah,6101
2511,4,13,90,5,268,202,214,148,1437,Commanche,4703
3004,356,10,201,22,4237,204,222,156,4030,Rawah,7745
2993,51,16,228,53,1237,226,204,107,552,Commanche,7756
2988,150,13,192,23,4971,236,239,130,5857,Rawah,7746
2339,343,19,362,190,1233,180,208,166,636,Cache,2717
3005,302,38,404,162,1507,91,192,227,999,Commanche,7757
3059,108,14,85,14,3124,244,222,104,2624,Rawah,7745
3110,123,14,90,19,5038,243,228,111,1592,Rawah,7745
3266,63,14,201,76,2072,232,211,108,2412,Rawah,7745
3336,211,7,180,25,1053,215,247,168,1776,Commanche,7756
3034,102,8,531,-24,1110,234,230,128,1358,Rawah,7745
2800,263,33,301,151,1888,123,235,240,1443,Commanche,4758
2767,330,8,85,10,840,202,231,168,2101,Commanche,4704
3094,14,4,466,9,1159,216,231,153,1230,Neota,7202
3141,318,15,85,2,2531,181,226,185,525,Commanche,7757
3015,60,13,182,10,4482,230,213,114,907,Rawah,7745
2844,295,22,60,26,5237,152,228,213,4642,Rawah,7700
2745,302,23,30,10,1271,149,222,211,1465,Commanche,4758
3146,131,15,324,33,3629,243,231,112,3152,Rawah,7745
3124,167,6,60,-2,2364,225,242,151,1974,Commanche,7756
2836,124,24,108,39,4420,252,214,76,404,Rawah,7201
3307,92,16,210,9,2387,243,214,95,3803,Neota,7757
3161,354,7,301,17,6007,208,227,157,1012,Rawah,7745
2171,35,31,300,121,361,200,157,74,300,Cache,4703
2877,74,12,437,66,1678,234,217,114,2874,Commanche,7202
3050,108,10,150,3,6827,238,228,120,3025,Rawah,7102
3188,319,13,524,112,3221,186,227,181,1201,Commanche,7700
2747,5,5,67,-3,1080,213,230,154,2282,Commanche,4704
3153,115,21,485,224,1767,251,214,81,2903,Commanche,7757
3180,198,2,256,19,1113,218,240,158,2018,Neota,7101
3008,4,15,175,29,5060,199,210,147,1087,Rawah,7745
3075,114,22,285,83,3053,251,212,77,949,Commanche,7757
3039,266,3,342,55,3151,211,241,167,648,Commanche,7756
3021,326,12,90,17,5332,190,226,176,4535,Rawah,7745
2922,95,16,192,49,5402,244,214,94,4090,Rawah,7745
3225,211,15,361,115,1584,207,253,178,2334,Commanche,7757
3431,317,31,124,80,3424,126,198,203,1419,Rawah,8772
2721,13,18,90,4,1207,200,201,134,1837,Commanche,7102
2707,148,12,90,6,1890,236,239,131,1113,Rawah,4744
2693,63,4,212,15,2210,224,231,143,1851,Commanche,7756
2839,352,10,216,28,1458,202,222,158,2996,Commanche,7202
3176,4,15,830,159,1825,199,210,147,2430,Commanche,7700
2911,22,19,175,42,1590,204,195,121,2797,Commanche,7700
3099,237,25,560,188,5685,168,252,213,1283,Rawah,7745
3213,176,11,190,20,4120,226,246,152,2110,Commanche,7757
2941,90,31,335,167,4280,249,174,29,750,Rawah,7745
3059,13,27,778,38,2591,184,175,118,2251,Commanche,7700
2564,207,7,285,87,832,216,246,167,1080,Cache,2717
2957,200,17,553,72,2760,211,253,171,2065,Commanche,7702
2913,4,14,459,115,3272,201,212,148,711,Commanche,4703
3079,60,5,366,38,2851,224,229,140,1550,Commanche,7756
2647,15,13,301,99,446,208,213,141,1390,Commanche,2703
3192,7,26,124,15,1594,180,180,128,541,Commanche,8772
2970,40,21,836,101,2402,216,188,98,1233,Commanche,7700
3720,332,9,997,274,5317,198,228,170,3445,Commanche,8776
3128,282,13,30,5,3670,184,241,196,1939,Rawah,7700
2912,111,12,175,34,1187,241,227,114,2377,Commanche,7755
2109,20,31,360,51,808,182,157,95,812,Cache,4703
